Body,Head
?c isMarriedTo ?a   ?c isCitizenOf ?b,?a livesIn ?b
?c isKnownFor ?a   ?c hasGender ?b,?a hasGender ?b
?a wroteMusicFor ?b,?a actedIn ?b
?a isAffiliatedTo ?c   ?c hasWonPrize ?b,?a hasWonPrize ?b
?c isLocatedIn ?a   ?c isLocatedIn ?b,?a isConnectedTo ?b
?c directed ?a   ?c isCitizenOf ?b,?a isLocatedIn ?b
?a actedIn ?c   ?b created ?c,?a isMarriedTo ?b
?c hasChild ?a   ?c livesIn ?b,?a wasBornIn ?b
?a isPoliticianOf ?c   ?b isLocatedIn ?c,?a isLeaderOf ?b
?c diedIn ?a   ?c isCitizenOf ?b,?a isLocatedIn ?b
?c influences ?a   ?c isAffiliatedTo ?b,?a isAffiliatedTo ?b
?a hasAcademicAdvisor ?c   ?c livesIn ?b,?a livesIn ?b
?c hasAcademicAdvisor ?a   ?c isCitizenOf ?b,?a isPoliticianOf ?b
?a isPoliticianOf ?b,?a wasBornIn ?b
?a hasNeighbor ?c   ?c hasCurrency ?b,?a hasCurrency ?b
?a hasChild ?c   ?b hasChild ?c,?a isMarriedTo ?b
?a isLocatedIn ?c   ?b owns ?c,?a isLocatedIn ?b
?c hasChild ?a   ?c isMarriedTo ?b,?a isMarriedTo ?b
?a diedIn ?c   ?b isLocatedIn ?c,?a isAffiliatedTo ?b
?a isMarriedTo ?c   ?c wasBornIn ?b,?a diedIn ?b
?c livesIn ?a   ?c livesIn ?b,?a hasCapital ?b
?a actedIn ?c   ?c isLocatedIn ?b,?a livesIn ?b
?a dealsWith ?c   ?b hasNeighbor ?c,?a dealsWith ?b
?c dealsWith ?a   ?b hasNeighbor ?c,?a hasNeighbor ?b
?c actedIn ?a   ?c livesIn ?b,?a isLocatedIn ?b
?a hasNeighbor ?c   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a hasNeighbor ?c   ?b dealsWith ?c,?a hasNeighbor ?b
?a hasAcademicAdvisor ?c   ?c diedIn ?b,?a diedIn ?b
?a isLeaderOf ?c   ?b isPoliticianOf ?c,?a hasChild ?b
?a isAffiliatedTo ?c   ?c owns ?b,?a wasBornIn ?b
?a hasChild ?c   ?c participatedIn ?b,?a participatedIn ?b
?a influences ?c   ?c isMarriedTo ?b,?a influences ?b
?c wroteMusicFor ?a   ?c diedIn ?b,?a isLocatedIn ?b
?a influences ?c   ?c worksAt ?b,?a created ?b
?c livesIn ?a   ?c wasBornIn ?b,?a isLocatedIn ?b
?a hasCapital ?c   ?b hasCapital ?c,?a isLocatedIn ?b
?a isMarriedTo ?c   ?c actedIn ?b,?a actedIn ?b
?a hasChild ?c   ?c isMarriedTo ?b,?a hasChild ?b
?a edited ?b,?a created ?b
?a hasChild ?c   ?c hasWonPrize ?b,?a hasWonPrize ?b
?c created ?a   ?c livesIn ?b,?a isCitizenOf ?b
?a influences ?c   ?c diedIn ?b,?a diedIn ?b
?c livesIn ?a   ?c isPoliticianOf ?b,?a isLocatedIn ?b
?c isMarriedTo ?a   ?c directed ?b,?a actedIn ?b
?a hasChild ?c   ?c isCitizenOf ?b,?a isCitizenOf ?b
?a isPoliticianOf ?c   ?c hasCapital ?b,?a diedIn ?b
?b influences ?a,?a influences ?b
?c happenedIn ?a   ?b participatedIn ?c,?a dealsWith ?b
?a isMarriedTo ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c participatedIn ?a   ?b dealsWith ?c,?a happenedIn ?b
?a happenedIn ?c   ?b hasNeighbor ?c,?a isLocatedIn ?b
?c created ?a   ?c isPoliticianOf ?b,?a isLocatedIn ?b
?a graduatedFrom ?b,?a worksAt ?b
?a influences ?c   ?c diedIn ?b,?a wasBornIn ?b
?c isPoliticianOf ?a   ?c diedIn ?b,?a hasCapital ?b
?c hasChild ?a   ?c livesIn ?b,?a isPoliticianOf ?b
?c isMarriedTo ?a   ?c isCitizenOf ?b,?a isCitizenOf ?b
?c happenedIn ?a   ?c happenedIn ?b,?a hasCapital ?b
?a hasAcademicAdvisor ?c   ?c livesIn ?b,?a isCitizenOf ?b
?c hasChild ?a   ?c isPoliticianOf ?b,?a isPoliticianOf ?b
?a dealsWith ?c   ?b dealsWith ?c,?a hasNeighbor ?b
?c isMarriedTo ?a   ?c isMarriedTo ?b,?a isMarriedTo ?b
?c participatedIn ?a   ?b dealsWith ?c,?a isLocatedIn ?b
?a happenedIn ?c   ?b dealsWith ?c,?a happenedIn ?b
?c hasChild ?a   ?c wroteMusicFor ?b,?a directed ?b
?c influences ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a wroteMusicFor ?c   ?b actedIn ?c,?a isMarriedTo ?b
?c created ?a   ?c livesIn ?b,?a isLocatedIn ?b
?a hasChild ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c isLocatedIn ?a   ?b happenedIn ?c,?a participatedIn ?b
?c participatedIn ?a   ?c hasCapital ?b,?a isLocatedIn ?b
?c isKnownFor ?a   ?c influences ?b,?a influences ?b
?a happenedIn ?c   ?c hasCapital ?b,?a happenedIn ?b
?a wasBornIn ?c   ?b isLocatedIn ?c,?a isAffiliatedTo ?b
?c created ?a   ?c hasGender ?b,?a hasGender ?b
?a livesIn ?c   ?b isLocatedIn ?c,?a diedIn ?b
?a livesIn ?c   ?c hasCapital ?b,?a diedIn ?b
?c isLeaderOf ?a   ?c wasBornIn ?b,?a hasCapital ?b
?c isMarriedTo ?a   ?c directed ?b,?a created ?b
?a created ?c   ?c created ?b,?a directed ?b
?c isLeaderOf ?a   ?c livesIn ?b,?a isLocatedIn ?b
?a wasBornIn ?c   ?b diedIn ?c,?a hasChild ?b
?a imports ?b,?a exports ?b
?a created ?c   ?b created ?c,?a isMarriedTo ?b
?a directed ?c   ?c isLocatedIn ?b,?a wasBornIn ?b
?a hasChild ?c   ?c diedIn ?b,?a diedIn ?b
?a isAffiliatedTo ?b,?a created ?b
?c hasChild ?a   ?c wasBornIn ?b,?a livesIn ?b
?c isMarriedTo ?a   ?c actedIn ?b,?a edited ?b
?a isConnectedTo ?c   ?c isLocatedIn ?b,?a isConnectedTo ?b
?a isMarriedTo ?c   ?c actedIn ?b,?a wroteMusicFor ?b
?c happenedIn ?a   ?b participatedIn ?c,?a hasCapital ?b
?a isLeaderOf ?c   ?b isLocatedIn ?c,?a graduatedFrom ?b
?c happenedIn ?a   ?b participatedIn ?c,?a isLocatedIn ?b
?a isLocatedIn ?c   ?c owns ?b,?a isConnectedTo ?b
?a owns ?c   ?c isConnectedTo ?b,?a owns ?b
?c influences ?a   ?c isPoliticianOf ?b,?a isCitizenOf ?b
?c isMarriedTo ?a   ?c directed ?b,?a edited ?b
?c wasBornIn ?a   ?c isLeaderOf ?b,?a isLocatedIn ?b
?a isAffiliatedTo ?c   ?c isLocatedIn ?b,?a diedIn ?b
?a influences ?c   ?c livesIn ?b,?a livesIn ?b
?a diedIn ?c   ?b owns ?c,?a isAffiliatedTo ?b
?c influences ?a   ?c graduatedFrom ?b,?a graduatedFrom ?b
?c hasAcademicAdvisor ?a   ?c hasGender ?b,?a hasGender ?b
?a isMarriedTo ?c   ?c wasBornIn ?b,?a livesIn ?b
?a isMarriedTo ?c   ?c isMarriedTo ?b,?a hasChild ?b
?a isConnectedTo ?c   ?b isConnectedTo ?c,?a isConnectedTo ?b
?c hasChild ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b participatedIn ?a,?a happenedIn ?b
?a isLeaderOf ?c   ?b hasCapital ?c,?a isPoliticianOf ?b
?a isLocatedIn ?c   ?c hasNeighbor ?b,?a happenedIn ?b
?a influences ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a livesIn ?c   ?b hasCapital ?c,?a livesIn ?b
?c dealsWith ?a   ?c exports ?b,?a imports ?b
?a diedIn ?c   ?c hasWonPrize ?b,?a hasWonPrize ?b
?a livesIn ?c   ?b dealsWith ?c,?a isCitizenOf ?b
?a isMarriedTo ?c   ?c hasMusicalRole ?b,?a hasMusicalRole ?b
?a participatedIn ?c   ?b happenedIn ?c,?a participatedIn ?b
?c dealsWith ?a   ?c imports ?b,?a exports ?b
?a playsFor ?c   ?c hasWonPrize ?b,?a hasWonPrize ?b
?a isAffiliatedTo ?c   ?c isLocatedIn ?b,?a isLeaderOf ?b
?a isCitizenOf ?c   ?c hasCapital ?b,?a diedIn ?b
?c hasNeighbor ?a   ?c hasCurrency ?b,?a hasCurrency ?b
?c hasChild ?a   ?c diedIn ?b,?a diedIn ?b
?a livesIn ?b,?a diedIn ?b
?a worksAt ?b,?a graduatedFrom ?b
?c hasNeighbor ?a   ?c hasOfficialLanguage ?b,?a hasOfficialLanguage ?b
?a imports ?c   ?b exports ?c,?a hasNeighbor ?b
?a influences ?c   ?c graduatedFrom ?b,?a graduatedFrom ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a isLocatedIn ?b
?c hasAcademicAdvisor ?a   ?b hasAcademicAdvisor ?c,?a influences ?b
?c happenedIn ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a hasNeighbor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c diedIn ?a   ?c wasBornIn ?b,?a isLocatedIn ?b
?a hasChild ?c   ?c isLeaderOf ?b,?a isPoliticianOf ?b
?a isCitizenOf ?c   ?b livesIn ?c,?a hasAcademicAdvisor ?b
?a imports ?c   ?b exports ?c,?a dealsWith ?b
?a isLeaderOf ?c   ?b isLocatedIn ?c,?a isAffiliatedTo ?b
?c playsFor ?a   ?c wasBornIn ?b,?a isLocatedIn ?b
?a edited ?b,?a wroteMusicFor ?b
?c hasAcademicAdvisor ?a   ?c livesIn ?b,?a livesIn ?b
?a happenedIn ?c   ?c hasCapital ?b,?a isLocatedIn ?b
?c isMarriedTo ?a   ?c isPoliticianOf ?b,?a isPoliticianOf ?b
?a hasChild ?c   ?c owns ?b,?a owns ?b
?a wroteMusicFor ?b,?a created ?b
?a created ?b,?a edited ?b
?c influences ?a   ?c diedIn ?b,?a wasBornIn ?b
?c hasChild ?a   ?c isPoliticianOf ?b,?a isLeaderOf ?b
?a isMarriedTo ?c   ?c isMarriedTo ?b,?a isMarriedTo ?b
?c isLocatedIn ?a   ?b participatedIn ?c,?a hasNeighbor ?b
?c owns ?a   ?b isLocatedIn ?c,?a isLocatedIn ?b
?c influences ?a   ?c diedIn ?b,?a diedIn ?b
?a isCitizenOf ?b,?a isPoliticianOf ?b
?a hasCapital ?c   ?b happenedIn ?c,?a participatedIn ?b
?a influences ?c   ?c actedIn ?b,?a created ?b
?a hasChild ?c   ?c isLeaderOf ?b,?a isAffiliatedTo ?b
?a isLocatedIn ?c   ?b isLocatedIn ?c,?a hasCapital ?b
?c playsFor ?a   ?c isCitizenOf ?b,?a isLocatedIn ?b
?c isMarriedTo ?a   ?c livesIn ?b,?a livesIn ?b
?a livesIn ?c   ?b isLocatedIn ?c,?a graduatedFrom ?b
?c hasAcademicAdvisor ?a   ?c diedIn ?b,?a diedIn ?b
?a isLeaderOf ?c   ?b isLocatedIn ?c,?a isLeaderOf ?b
?c isAffiliatedTo ?a   ?c wasBornIn ?b,?a isLocatedIn ?b
?c isMarriedTo ?a   ?c edited ?b,?a directed ?b
?c owns ?a   ?c hasCapital ?b,?a isLocatedIn ?b
?a isMarriedTo ?c   ?c actedIn ?b,?a directed ?b
?c hasNeighbor ?a   ?c hasNeighbor ?b,?a hasNeighbor ?b
?a hasChild ?b,?a influences ?b
?c hasNeighbor ?a   ?c owns ?b,?a owns ?b
?a isMarriedTo ?c   ?c isAffiliatedTo ?b,?a created ?b
?a playsFor ?c   ?b owns ?c,?a playsFor ?b
?a hasAcademicAdvisor ?c   ?c influences ?b,?a influences ?b
?c isAffiliatedTo ?a   ?b isAffiliatedTo ?c,?a isAffiliatedTo ?b
?c hasCapital ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a happenedIn ?c   ?c dealsWith ?b,?a isLocatedIn ?b
?c hasNeighbor ?a   ?b dealsWith ?c,?a dealsWith ?b
?a isPoliticianOf ?c   ?b isLocatedIn ?c,?a diedIn ?b
?c hasChild ?a   ?c worksAt ?b,?a graduatedFrom ?b
?a participatedIn ?c   ?b participatedIn ?c,?a isLocatedIn ?b
?c isConnectedTo ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c isMarriedTo ?a   ?c graduatedFrom ?b,?a graduatedFrom ?b
?a worksAt ?c   ?b worksAt ?c,?a hasAcademicAdvisor ?b
?c dealsWith ?a   ?c hasOfficialLanguage ?b,?a hasOfficialLanguage ?b
?a isCitizenOf ?c   ?b dealsWith ?c,?a isCitizenOf ?b
?c worksAt ?a   ?c livesIn ?b,?a isLocatedIn ?b
?a isMarriedTo ?c   ?c livesIn ?b,?a wasBornIn ?b
?a isLocatedIn ?c   ?c dealsWith ?b,?a happenedIn ?b
?a influences ?c   ?b influences ?c,?a influences ?b
?c hasChild ?a   ?c isCitizenOf ?b,?a isPoliticianOf ?b
?c dealsWith ?a   ?c dealsWith ?b,?a hasNeighbor ?b
?a hasWonPrize ?c   ?b hasWonPrize ?c,?a hasAcademicAdvisor ?b
?a hasChild ?c   ?c isMarriedTo ?b,?a isMarriedTo ?b
?c hasChild ?a   ?b influences ?c,?a influences ?b
?c participatedIn ?a   ?b hasNeighbor ?c,?a happenedIn ?b
?a exports ?c   ?b exports ?c,?a dealsWith ?b
?c hasChild ?a   ?c livesIn ?b,?a isCitizenOf ?b
?c isMarriedTo ?a   ?c diedIn ?b,?a livesIn ?b
?c dealsWith ?a   ?b hasNeighbor ?c,?a dealsWith ?b
?a livesIn ?c   ?b isLocatedIn ?c,?a worksAt ?b
?a diedIn ?c   ?b isLocatedIn ?c,?a playsFor ?b
?c isMarriedTo ?a   ?c created ?b,?a created ?b
?c hasNeighbor ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a hasNeighbor ?c   ?c imports ?b,?a exports ?b
?a wasBornIn ?c   ?b owns ?c,?a playsFor ?b
?a diedIn ?c   ?b hasCapital ?c,?a isCitizenOf ?b
?a diedIn ?b,?a wasBornIn ?b
?c isCitizenOf ?a   ?c livesIn ?b,?a hasNeighbor ?b
?a exports ?b,?a imports ?b
?a isAffiliatedTo ?c   ?b owns ?c,?a diedIn ?b
?a influences ?b,?a hasChild ?b
?a diedIn ?c   ?b diedIn ?c,?a influences ?b
?a hasChild ?c   ?c influences ?b,?a hasChild ?b
?c hasChild ?a   ?c isMarriedTo ?b,?a hasChild ?b
?a influences ?c   ?c isCitizenOf ?b,?a isPoliticianOf ?b
?c isMarriedTo ?a   ?c hasGender ?b,?a hasGender ?b
?c hasChild ?a   ?c hasWonPrize ?b,?a hasWonPrize ?b
?c created ?a   ?c isCitizenOf ?b,?a isLocatedIn ?b
?c created ?a   ?c influences ?b,?a influences ?b
?a hasNeighbor ?c   ?b hasNeighbor ?c,?a dealsWith ?b
?a isLeaderOf ?c   ?c isLocatedIn ?b,?a wasBornIn ?b
?c isMarriedTo ?a   ?c isAffiliatedTo ?b,?a isAffiliatedTo ?b
?a hasChild ?c   ?c wasBornIn ?b,?a diedIn ?b
?c isConnectedTo ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a diedIn ?c   ?b diedIn ?c,?a isMarriedTo ?b
?a isLocatedIn ?c   ?c hasOfficialLanguage ?b,?a hasOfficialLanguage ?b
?b hasAcademicAdvisor ?a,?a influences ?b
?c isMarriedTo ?a   ?c hasChild ?b,?a isMarriedTo ?b
?c isLeaderOf ?a   ?c diedIn ?b,?a isLocatedIn ?b
?c wasBornIn ?a   ?c isCitizenOf ?b,?a isLocatedIn ?b
?a isAffiliatedTo ?c   ?c owns ?b,?a playsFor ?b
?b dealsWith ?a,?a hasNeighbor ?b
?c isLocatedIn ?a   ?c isConnectedTo ?b,?a isConnectedTo ?b
?a isPoliticianOf ?c   ?c hasCapital ?b,?a livesIn ?b
?a hasCurrency ?c   ?b hasCurrency ?c,?a isLocatedIn ?b
?a created ?c   ?c isLocatedIn ?b,?a wasBornIn ?b
?c hasAcademicAdvisor ?a   ?c hasWonPrize ?b,?a hasWonPrize ?b
?a isAffiliatedTo ?c   ?c hasGender ?b,?a hasGender ?b
?c isLocatedIn ?a   ?c isConnectedTo ?b,?a isLocatedIn ?b
?a isLeaderOf ?b,?a isAffiliatedTo ?b
?a owns ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a dealsWith ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a worksAt ?c   ?c isLocatedIn ?b,?a livesIn ?b
?a influences ?c   ?b isKnownFor ?c,?a influences ?b
?c hasAcademicAdvisor ?a   ?c diedIn ?b,?a wasBornIn ?b
?c dealsWith ?a   ?b happenedIn ?c,?a participatedIn ?b
?b isLocatedIn ?a,?a owns ?b
?c happenedIn ?a   ?c happenedIn ?b,?a dealsWith ?b
?c hasAcademicAdvisor ?a   ?c livesIn ?b,?a isCitizenOf ?b
?c isLocatedIn ?a   ?c participatedIn ?b,?a participatedIn ?b
?c influences ?a   ?c isCitizenOf ?b,?a livesIn ?b
?a wasBornIn ?c   ?b happenedIn ?c,?a hasWonPrize ?b
?a isMarriedTo ?c   ?c created ?b,?a wroteMusicFor ?b
?c influences ?a   ?c wasBornIn ?b,?a wasBornIn ?b
?c created ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a isMarriedTo ?c   ?b hasChild ?c,?a isMarriedTo ?b
?c isConnectedTo ?a   ?c isLocatedIn ?b,?a isConnectedTo ?b
?b hasChild ?a,?a hasChild ?b
?c isAffiliatedTo ?a   ?c hasGender ?b,?a hasGender ?b
?c isLocatedIn ?a   ?b owns ?c,?a isLocatedIn ?b
?a isLocatedIn ?c   ?c hasCapital ?b,?a isLocatedIn ?b
?c hasChild ?a   ?c directed ?b,?a actedIn ?b
?a hasChild ?c   ?c isPoliticianOf ?b,?a isLeaderOf ?b
?a exports ?c   ?b imports ?c,?a dealsWith ?b
?c influences ?a   ?c created ?b,?a worksAt ?b
?a isLocatedIn ?c   ?b hasCapital ?c,?a happenedIn ?b
?a created ?c   ?b actedIn ?c,?a isMarriedTo ?b
?a isMarriedTo ?c   ?c isPoliticianOf ?b,?a isPoliticianOf ?b
?c isMarriedTo ?a   ?c livesIn ?b,?a diedIn ?b
?a hasOfficialLanguage ?c   ?b hasOfficialLanguage ?c,?a dealsWith ?b
?a hasNeighbor ?c   ?c exports ?b,?a imports ?b
?a hasChild ?b,?a isMarriedTo ?b
?a isLocatedIn ?c   ?c isLocatedIn ?b,?a isLocatedIn ?b
?c dealsWith ?a   ?c hasCapital ?b,?a hasCapital ?b
?a graduatedFrom ?c   ?c isLocatedIn ?b,?a diedIn ?b
?a worksAt ?b,?a created ?b
?a wroteMusicFor ?c   ?b created ?c,?a isMarriedTo ?b
?c dealsWith ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a graduatedFrom ?c   ?b graduatedFrom ?c,?a hasChild ?b
?a playsFor ?c   ?c owns ?b,?a isAffiliatedTo ?b
?a wasBornIn ?c   ?b hasCapital ?c,?a isCitizenOf ?b
?c isLocatedIn ?a   ?c hasOfficialLanguage ?b,?a hasOfficialLanguage ?b
?c hasChild ?a   ?b hasChild ?c,?a hasChild ?b
?a hasNeighbor ?c   ?c dealsWith ?b,?a dealsWith ?b
?a hasChild ?c   ?c hasChild ?b,?a hasChild ?b
?a worksAt ?c   ?b graduatedFrom ?c,?a influences ?b
?a dealsWith ?b,?a hasNeighbor ?b
?a isAffiliatedTo ?c   ?c owns ?b,?a isAffiliatedTo ?b
?a owns ?c   ?c isLocatedIn ?b,?a hasCapital ?b
?a livesIn ?c   ?c isLocatedIn ?b,?a livesIn ?b
?c wasBornIn ?a   ?c isPoliticianOf ?b,?a isLocatedIn ?b
?a hasChild ?c   ?c wasBornIn ?b,?a wasBornIn ?b
?c hasAcademicAdvisor ?a   ?c graduatedFrom ?b,?a graduatedFrom ?b
?a hasAcademicAdvisor ?c   ?c hasAcademicAdvisor ?b,?a hasAcademicAdvisor ?b
?c isLocatedIn ?a   ?c isLocatedIn ?b,?a dealsWith ?b
?a livesIn ?c   ?b livesIn ?c,?a isMarriedTo ?b
?c graduatedFrom ?a   ?c diedIn ?b,?a isLocatedIn ?b
?c isLeaderOf ?a   ?c isLeaderOf ?b,?a dealsWith ?b
?c influences ?a   ?c hasAcademicAdvisor ?b,?a hasAcademicAdvisor ?b
?a livesIn ?c   ?c dealsWith ?b,?a livesIn ?b
?c isMarriedTo ?a   ?c hasMusicalRole ?b,?a hasMusicalRole ?b
?b influences ?a,?a isMarriedTo ?b
?c participatedIn ?a   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a owns ?c   ?c hasWonPrize ?b,?a hasWonPrize ?b
?a wasBornIn ?c   ?b hasCapital ?c,?a livesIn ?b
?c influences ?a   ?c hasWonPrize ?b,?a hasWonPrize ?b
?c directed ?a   ?c livesIn ?b,?a isLocatedIn ?b
?c isInterestedIn ?a   ?c hasGender ?b,?a hasGender ?b
?a isMarriedTo ?c   ?c edited ?b,?a created ?b
?a isLocatedIn ?b,?a happenedIn ?b
?a dealsWith ?c   ?c hasNeighbor ?b,?a hasNeighbor ?b
?b influences ?a,?a hasAcademicAdvisor ?b
?a wasBornIn ?c   ?c isLocatedIn ?b,?a isPoliticianOf ?b
?a created ?c   ?c created ?b,?a created ?b
?a happenedIn ?c   ?c hasNeighbor ?b,?a happenedIn ?b
?a created ?b,?a owns ?b
?c participatedIn ?a   ?b isLocatedIn ?c,?a happenedIn ?b
?a wroteMusicFor ?c   ?c isLocatedIn ?b,?a isCitizenOf ?b
?c isLocatedIn ?a   ?b participatedIn ?c,?a dealsWith ?b
?a isPoliticianOf ?c   ?c isLocatedIn ?b,?a isPoliticianOf ?b
?a isLocatedIn ?b,?a owns ?b
?a isConnectedTo ?c   ?c isConnectedTo ?b,?a isLocatedIn ?b
?c hasChild ?a   ?c diedIn ?b,?a wasBornIn ?b
?a isLeaderOf ?b,?a livesIn ?b
?c wasBornIn ?a   ?c livesIn ?b,?a isLocatedIn ?b
?a diedIn ?c   ?c isLocatedIn ?b,?a isCitizenOf ?b
?c hasCapital ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c hasChild ?a   ?c isAffiliatedTo ?b,?a isAffiliatedTo ?b
?c dealsWith ?a   ?b dealsWith ?c,?a dealsWith ?b
?c hasNeighbor ?a   ?b isLocatedIn ?c,?a participatedIn ?b
?c influences ?a   ?c hasChild ?b,?a influences ?b
?a isConnectedTo ?c   ?c hasCapital ?b,?a isLocatedIn ?b
?a isLeaderOf ?c   ?c isLocatedIn ?b,?a livesIn ?b
?a dealsWith ?c   ?c hasOfficialLanguage ?b,?a hasOfficialLanguage ?b
?a directed ?b,?a edited ?b
?a hasChild ?c   ?c isLeaderOf ?b,?a isLeaderOf ?b
?c worksAt ?a   ?c wasBornIn ?b,?a isLocatedIn ?b
?c created ?a   ?c wasBornIn ?b,?a isLocatedIn ?b
?a participatedIn ?c   ?b participatedIn ?c,?a dealsWith ?b
?b hasChild ?a,?a isMarriedTo ?b
?a livesIn ?b,?a isPoliticianOf ?b
?a livesIn ?c   ?b isLocatedIn ?c,?a isPoliticianOf ?b
?a isCitizenOf ?c   ?c dealsWith ?b,?a isPoliticianOf ?b
?c hasChild ?a   ?c hasChild ?b,?a isMarriedTo ?b
?c isMarriedTo ?a   ?c created ?b,?a actedIn ?b
?c isLocatedIn ?a   ?b isLocatedIn ?c,?a hasCapital ?b
?c hasAcademicAdvisor ?a   ?c hasAcademicAdvisor ?b,?a hasAcademicAdvisor ?b
?a isPoliticianOf ?b,?a isCitizenOf ?b
?a isLocatedIn ?c   ?b isConnectedTo ?c,?a isConnectedTo ?b
?a graduatedFrom ?c   ?b worksAt ?c,?a hasAcademicAdvisor ?b
?a directed ?b,?a created ?b
?c isMarriedTo ?a   ?c influences ?b,?a influences ?b
?c hasNeighbor ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a playsFor ?c   ?c isLocatedIn ?b,?a isCitizenOf ?b
?a created ?b,?a isAffiliatedTo ?b
?a isKnownFor ?c   ?c isKnownFor ?b,?a isKnownFor ?b
?c hasNeighbor ?a   ?c exports ?b,?a exports ?b
?a actedIn ?b,?a directed ?b
?a isLeaderOf ?c   ?c hasCapital ?b,?a wasBornIn ?b
?a livesIn ?c   ?b isLocatedIn ?c,?a wasBornIn ?b
