Body,Head
?a gender ?c,?a father Henry_VII_Holy_Roman_Emperor
?b parent ?c,Maximilian_II_Holy_Roman_Emperor parent ?b
?a child ?c,?a child Constance_of_Aragon_Lady_of_Villena
Charles_Ferdinand_Duke_of_Berry child ?b,Marie_Caroline_of_Bourbo_Two_Sicilies_Duchess_of_Berry child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Wilhelmine_Amalie_of_Brunswick parent ?b
?a child ?c   ?c predecessor ?b,?a marriedTo ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Afonso_II_of_Portugal child ?b
?a child ?c,?a father Ferdinand_I_of_Aragon
?a spouse Philip_VI_of_France,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Louis_XIII parent ?a,?a child Christine_of_France
?a mother ?c,?a parent Charles_Count_of_Valois
?a parent ?c   ?c spouse ?d   ?d hasSpouse ?b,?a hasSpouse ?b
?a parent Eleanor_of_Aragon_Queen_of_Portugal,?a hasSpouse Yes
Duchess_Helene_of_Mecklenburg_Schwerin child ?b,Ferdinand_Philippe_Duke_of_Orl_ans child ?b
?b child Archduchess_Barbara_of_Austria,Archduchess_Anna_of_Austria parent ?b
?c spouse ?b,Fran_oise_Marie_de_Bourbon child ?b
?a child Princess_Amelia_of_the_United_Kingdom,?a child Charlotte_Princess_Royal
?a parent ?c   ?d mother ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a child ?c,?a spouse Manuel_I_of_Portugal
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Ramon_Berenguer_IV_Count_of_Provence child ?b
"?a gender ""male""",?a parent Letizia_Bonaparte
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a successor Pepin_the_Short
?a successor ?c,?a parent Louis_X_of_France
?a name ?c   ?d name ?c   ?d parent ?b,?a child ?b
?b spouse ?c,Maria_Theresa_of_Savoy child ?b
?a spouse ?c,?a child Clemence_of_Austria
?c mother ?a   ?c name ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
Louis_the_Stammerer child ?a,?a predecessor Louis_the_Stammerer
Clementia_of_Hungary parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a hasSpouse No,?a successor Albert_II_Duke_of_Austria
?a parent Louis_Dauphin_of_France_son_of_Louis_XV,?a hasSpouse Yes
?c child ?b,Charles_IX_of_France child ?b
Louis_the_Pious successor ?a,?a hasSpouse No
Marie_de_Medici child ?b,Henry_IV_of_France child ?b
Barbara_Jagiellon parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Theobald_I_of_Navarre spouse ?b
?a predecessor ?c   ?d father ?c   ?d gender ?b,?a gender ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a child Archduchess_Maria_Carolina_of_Austria_born_1740
Maria_Antonia_Ferdinanda_of_Spain parent ?a,?a hasSpouse Yes
?a parent Louis_I_Duke_of_Bourbon,"?a gender ""male"""
Louis_VIII_of_France parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child Louis_of_Cyprus,?a child Bona_of_Savoy
?a hasSpouse Yes,?a parent Louis_II_of_Anjou
Peter_I_of_Portugal parent ?a,?a hasSpouse Yes
?a child Prince_Maurizio_Duke_of_Montferrat,?a child Maria_Anna_of_Savoy_Duchess_of_Chablais
?b hasSpouse Yes,Albert_I_of_Germany child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a child Christine_of_France
?a hasSpouse Yes,?a parent Catherine_de_Medici
Charlotte_of_Bourbon_Queen_of_Cyprus parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a hasSpouse ?c,?a parent Anne_of_Austria
?b gender ?c,Maria_Teresa_Felicitas_d_Este parent ?b
?a name ?c,?a child Patrick_Gordon_of_Auchindoun
?a gender ?c,?a child Margaret_of_Savoy_Countess_of_Saint_Pol
?c parent ?b,Margaret_of_Provence child ?b
?a parent ?c,?a child Edward_III_of_England
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a spouse Philip_VI_of_France
?a gender ?c,?a father Louis_VI_of_France
?b hasSpouse ?c,Violant_of_Hungary child ?b
?a successor Pepin_the_Short,?a hasSpouse No
?b name ?c,Henry_Stuart_Lord_Darnley parent ?b
?c father ?a,?a mother Mary_of_Avesnes
?a child Charlotte_Princess_Royal,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b hasSpouse ?c,me_myself_i name ?b
?c spouse ?a,?a name John
?a child Marie_Z_phyrine_of_France,?a child Louis_XVI
?b parent ?c,Elisabeth_Farnese child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Marie_of_Brittany_Countess_of_Saint_Pol
?c spouse ?b,Frederick_Prince_of_Wales parent ?b
?a child Carlo_Duke_of_Calabria,?a child Francis_I_of_the_Two_Sicilies
?b hasSpouse ?c,Matilda_of_Scotland child ?b
?b hasSpouse Yes,Peter_I_Duke_of_Bourbon parent ?b
?a child ?c,?a father Ferdinand_I_Holy_Roman_Emperor
?a successor French_Revolution_of_1848,?a hasSpouse Yes
?b parent ?c,Marie_de_Medici child ?b
?a predecessor ?c   ?d successor ?c   ?b spouse ?d,?a mother ?b
Charles_VII_of_France predecessor ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c parent ?a,?a child Charles_the_Simple
?c spouse ?a,?a parent Robert_II_of_France
?a spouse ?c,?a successor Charles_the_Fat
?c mother ?a   ?c name ?b,?a name ?b
Louis_Count_of__vreux child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c predecessor ?a,?a mother Bonne_of_Luxembourg
?c child ?b,James_I_of_Aragon child ?b
?a name ?c,?a parent Peter_I_of_Portugal
Cosimo_I_de_Medici_Grand_Duke_of_Tuscany child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a spouse James_V_of_Scotland,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child Valdemar_II_of_Denmark,?a child Canute_VI_of_Denmark
Matilda_of_France child ?b,Conrad_I_of_Burgundy child ?b
?c child ?a   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a father ?c,?a child Henrietta_Maria
?c spouse ?a,?a hasSpouse Yes
?b parent Ferdinand_I_of_the_Two_Sicilies,Maria_Carolina_of_Austria child ?b
?a spouse ?c,?a spouse Mary_of_Guise
?a hasSpouse Yes,?a child Prince_Maurizio_Duke_of_Montferrat
?a child ?c,?a child Maria_of_Austria_Duchess_of_J_lich_Cleves_Berg
?a predecessor Henri_Count_of_Chambord,?a hasSpouse Yes
Robert_I_Duke_of_Burgundy parent ?a,?a child Robert_I_Duke_of_Burgundy
?a mother ?c   ?c parent ?d   ?d name ?b,?a name ?b
?c child ?a   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b hasSpouse No,Maria_Josepha_of_Austria child ?b
?a name ?c   ?b successor ?c,?a child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Charles_Emmanuel_I_Duke_of_Savoy parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Sancho_I_of_Portugal child ?b
?b mother ?c,Peter_I_of_Portugal child ?b
?a successor ?c,?a name Charles_V
?c spouse ?b,Anna_of_Holstei_Gottorp parent ?b
"?b gender ""male""",Joan_I_of_Navarre successor ?b
?c parent ?b,Ferdinand_I_of_Aragon child ?b
?c child ?b,Ferdinand_Philippe_Duke_of_Orl_ans child ?b
Ermengarde_of_Hesbaye child ?a,?a hasSpouse No
?c name ?a   ?d spouse ?c   ?d parent ?b,?a name ?b
?a name Henry_VII,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b gender ?c,Alfonso_XI_of_Castile child ?b
?b name ?c,Maria_Beatrice_d_Este_Duchess_of_Massa child ?b
?b spouse Richard_Count_of__tampes,Richard_Count_of__tampes spouse ?b
?c predecessor ?a,?a successor Louis_IV_Holy_Roman_Emperor
?b child ?c,Margaret_of_Anjou parent ?b
?a mother ?c,?a child Rudolf_II_Holy_Roman_Emperor
?b parent ?c,Robert_II_of_France spouse ?b
Edward_I_of_England parent ?a,?a child Beatrice_of_England
Louis_II_of_Anjou child ?b,Yolande_of_Aragon child ?b
Maria_Luisa_of_Spain child ?a,?a hasSpouse No
?b hasSpouse Yes,Louis_the_Stammerer spouse ?b
?b hasSpouse ?c,Henry_the_Fowler child ?b
?a spouse ?c,?a parent Maria_Theresa
?b gender ?c,Berengaria_of_Barcelona parent ?b
?a gender ?c,?a parent Joanna_of_Bourbon
?a child ?c   ?d successor ?c   ?b successor ?d,?a child ?b
Princess_Marie_Isabelle_of_Orl_ans parent ?a,?a child Mercedes_of_Orl_ans
?b parent ?c,Henry_V_of_England parent ?b
Louis_the_Stammerer child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b gender ?c,Adolphus_Frederick_I_Duke_of_Mecklenburg_Schwerin parent ?b
?b successor ?c,Maria_Theresa successor ?b
?b hasSpouse ?c,James_I_of_Aragon child ?b
?b hasSpouse Yes,Adelaide_of_Maurienne parent ?b
?a hasSpouse No,"?a gender ""female"""
Maria_Theresa_of_Austria_Este_Queen_of_Sardinia child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a child Archduchess_Maria_Anna_of_Austria_born_1738,?a child Maria_Amalia_Duchess_of_Parma
?a gender ?c,?a child Lothair_I
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Marie_of_France_Duchess_of_Bar child ?b
?a spouse ?c,?a child Archduke_John_of_Austria
?b hasSpouse ?c,Theobald_I_of_Navarre child ?b
Maria_of_Austria_Holy_Roman_Empress child ?b,Maximilian_II_Holy_Roman_Emperor child ?b
?a gender ?c,?a child Margaret_of_Burgundy_Queen_of_France
?a father ?c,?a child Edward_III_of_England
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a hasSpouse No
?c successor ?b,Pepin_of_Herstal successor ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Ferdinand_I_Holy_Roman_Emperor child ?b
?a spouse ?c,?a child Peter_of_Aragon_Count_of_Alburquerque
?a spouse ?c   ?c child ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
Maria_Theresa child ?a,?a father Francis_I_Holy_Roman_Emperor
Marie_Antoinette parent ?a,?a child Archduchess_Maria_Johanna_Gabriela_of_Austria
?a parent Louis_Duke_of_Savoy,?a hasSpouse Yes
?a child Conrad_of_Ivrea,?a child Rozala_of_Italy
?a child Anne_of_Austria,?a child Philip_IV_of_Spain
?c mother ?b,Ramon_Berenguer_IV_Count_of_Provence child ?b
?a name me_myself_i,?a hasSpouse Yes
Henry_VII_Holy_Roman_Emperor child ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a spouse Henry_the_Lion
?a mother ?c,?a parent Louis_XVI
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Maximilian_I_Holy_Roman_Emperor spouse ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Geoffrey_Plantagenet_Count_of_Anjou parent ?b
?a successor ?c   ?c spouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Alys_of_France_Countess_of_Vexin parent ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a spouse Louis_II_of_Anjou
?a child ?c,?a child Beatrice_of_Luxembourg
?c mother ?b,Gertrude_of_Hohenberg child ?b
?a child ?c,?a child Philip_of_France_Archdeacon_of_Paris
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Agnes_of_France_Duchess_of_Burgundy child ?b
"?a gender ""male""",?a father John_II_of_France
?a child ?c,?a mother Maria_Josepha_of_Saxony_Dauphine_of_France
?b child Louis_of_France_1244_1260,Agnes_of_France_Duchess_of_Burgundy parent ?b
?a parent Agnes_of_France_Duchess_of_Burgundy,"?a gender ""female"""
?c successor ?a   ?c child ?d   ?d hasSpouse ?b,?a hasSpouse ?b
?c parent ?a,?a successor Alfonso_V_of_Aragon
?c spouse ?a,?a child Princess_Louise_d_Artois
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a spouse Gisela_of_Burgundy_Marchioness_of_Montferrat
?a child James_VI_and_I,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a parent ?c,?a child Agatha_wife_of_Edward_the_Exile
?a name ?c   ?b name ?c,?a successor ?b
?c mother ?a   ?c spouse ?b,?a spouse ?b
Louis_I_Duke_of_Bavaria parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Alfonso_VIII_of_Castile child ?b,Eleanor_of_England_Queen_of_Castile child ?b
?a successor ?c   ?c parent ?d   ?d spouse ?b,?a predecessor ?b
?b child Louis_XI,Louis_XI parent ?b
?c spouse ?b,John_I_of_Portugal child ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a spouse Charles_Duke_of_Orl_ans
?a successor ?c   ?d parent ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a father Louis_the_Pious
?c parent ?b,Bertha_of_Burgundy spouse ?b
?b name ?c,William_Duke_of_J_lich_Cleves_Berg spouse ?b
?c parent ?a,?a mother Maria_Josepha_of_Austria
?a name ?c,?a mother Joan_Beaufort_Queen_of_Scots
?c father ?a   ?c successor ?d   ?d hasSpouse ?b,?a hasSpouse ?b
?a child ?c,?a spouse Margaret_Countess_of_Vertus
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Maria_of_Aragon_Queen_of_Portugal
?b child Catherine_of_France_Countess_of_Montpensier,Louis_I_Duke_of_Orl_ans parent ?b
?b father ?c,Isabella_of_Hainault parent ?b
?c child ?a,?a name John_I
Charles_VII_Holy_Roman_Emperor successor ?a,?a child Archduchess_Maria_Carolina_of_Austria_born_1740
Philip_III_of_France parent ?a,?a child Peter_I_Count_of_Alen_on
?c predecessor ?a   ?c hasSpouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?b hasSpouse No,Elizabeth_the_Cuman child ?b
?b hasSpouse No,Maria_Theresa_of_Austria_Este_Queen_of_Sardinia child ?b
?a hasSpouse ?c,?a spouse Vladimir_the_Great
?b child Isabella_of_France_Queen_of_Navarre,Philip_III_of_France parent ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a child Edward_III_of_England
?b hasSpouse ?c,Vladimir_the_Great predecessor ?b
?a child Edmund_Tudor_Duke_of_Somerset,?a child Arthur_Prince_of_Wales
?a gender ?c   ?d gender ?c   ?d predecessor ?b,?a child ?b
Blanche_of_Burgundy parent ?a,?a successor Joan_II_Countess_of_Burgundy
?a hasSpouse ?c,?a child William_FitzEmpress
Henry_of_Bohemia successor ?a,?a hasSpouse Yes
?c parent ?a,?a child Charles_Count_of_Maine
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a successor John_I_Duke_of_Brittany
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Maria_Anna_of_Bavaria_born_1551 child ?b
?b hasSpouse Yes,Adelaide_of_Tours spouse ?b
?a successor Rudolph_II_of_Burgundy,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a father ?c,?a child Louis_XV
?b gender ?c,Louis_Dauphin_of_France_son_of_Louis_XIV parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Elizabeth_Woodville parent ?b
?a spouse ?c,?a child Prince_Frederick_Duke_of_York_and_Albany
?a father ?c,?a child Sanchia_of_Provence
?a father ?c,?a mother Eleanor_of_Navarre
?a gender ?c,?a father John_II_of_France
?c parent ?a   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a parent Louis_the_Pious,?a father Louis_the_Pious
?a name ?c,?a father Louis_VII_of_France
?a child Ferdinand_I_Holy_Roman_Emperor,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?a marriedTo ?c,"?a gender ""male"""
?b gender ?c,Adelaide_of_Burgundy_Duchess_of_Brabant parent ?b
?b hasSpouse ?c,Robert_II_of_Scotland child ?b
"?b gender ""female""",Henry_I_of_France spouse ?b
?b mother ?c,Marie_of_Anjou parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Louis_XII spouse ?b
Charles_VI_of_France parent ?a,?a child Charles_VI_of_France
Eleanor_of_Aragon_Queen_of_Portugal child ?a,?a hasSpouse No
?c spouse ?b,Henry_VI_of_England parent ?b
?a successor Louis_XII,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b parent Constance_of_Arles,Constance_of_Arles child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Maria_Christina_of_the_Two_Sicilies parent ?b
?a child Ad_la_de_d_Orl_ans,?a hasSpouse Yes
?a child ?c,?a successor Charles_V_Holy_Roman_Emperor
?c spouse ?a,?a child Philip_the_Good
?a hasSpouse ?c,?a spouse Philip_II_of_Spain
?a child ?c,?a child Archduke_Charles_Duke_of_Teschen
?a mother Joanna_of_Bourbon,?a hasSpouse Yes
?a hasSpouse Yes,?a child John_Prince_of_Asturias
?a mother ?c,?a parent Louis_the_Pious
?b hasSpouse Yes,John_of_Gaunt parent ?b
?a father ?c,?a child Robert_I_Duke_of_Burgundy
?a name ?c,?a parent Margaret_of_Provence
?a hasSpouse Yes,?a mother Margaret_Countess_of_Anjou
?a child Louis_XII,?a hasSpouse Yes
?c parent ?a   ?c child ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c father ?a   ?d mother ?c   ?d gender ?b,?a gender ?b
?a child ?c   ?d successor ?c   ?d child ?b,?a child ?b
?b hasSpouse ?c,Louis_the_Stammerer successor ?b
?b predecessor ?c,Marie_Antoinette parent ?b
?c spouse ?a,?a child Claude_of_France
?c child ?a,?a child Hugh_Count_of_Vermandois
?a spouse ?c,?a father James_I_of_Scotland
?a parent Edward_King_of_Portugal,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Charles_VII_Holy_Roman_Emperor successor ?a,?a child Archduchess_Maria_Anna_of_Austria_born_1738
?a successor ?c   ?b child ?c,?a predecessor ?b
?a child Catherine_of_France_Countess_of_Montpensier,?a child Louis_I_Duke_of_Orl_ans
?a hasSpouse ?c,?a mother Mary_of_Avesnes
?c mother ?a,?a parent Maria_Theresa
Margaret_of_Bavaria child ?a,?a parent Margaret_of_Bavaria
?c parent ?a,?a spouse Maria_Amalia_of_Saxony
John_II_of_France child ?a,?a mother Bonne_of_Luxembourg
?b hasSpouse Yes,Francis_I_Duke_of_Lorraine parent ?b
?a predecessor ?c   ?d successor ?c   ?d gender ?b,?a gender ?b
