Body,Head,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a predecessor ?c   ?c parent ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c name ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?b parent ?c,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?b predecessor ?c,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?b successor ?c,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?b child ?c,?a predecessor ?b,,,,,,,
?a name ?c   ?c predecessor ?b,?a predecessor ?b,,,,,,,
?a name ?c   ?b successor ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?c name ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c successor ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?b spouse ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?b predecessor ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?c child ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?b parent ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?b father ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?b name ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?b mother ?c,?a predecessor ?b,,,,,,,
?a parent ?c   ?b child ?c,?a predecessor ?b,,,,,,,
?a father ?c   ?c successor ?b,?a predecessor ?b,,,,,,,
?a father ?c   ?b predecessor ?c,?a predecessor ?b,,,,,,,
?a father ?c   ?b spouse ?c,?a predecessor ?b,,,,,,,
?a father ?c   ?c spouse ?b,?a predecessor ?b,,,,,,,
?a father ?c   ?c parent ?b,?a predecessor ?b,,,,,,,
?a father ?c   ?c child ?b,?a predecessor ?b,,,,,,,
?a father ?c   ?b parent ?c,?a predecessor ?b,,,,,,,
?a father ?c   ?b father ?c,?a predecessor ?b,,,,,,,
?a mother ?c   ?c spouse ?b,?a predecessor ?b,,,,,,,
?a mother ?c   ?b spouse ?c,?a predecessor ?b,,,,,,,
?a mother ?c   ?c child ?b,?a predecessor ?b,,,,,,,
?a successor ?c   ?c mother ?b,?a predecessor ?b,,,,,,,
?a successor ?c   ?c father ?b,?a predecessor ?b,,,,,,,
?a successor ?c   ?c predecessor ?b,?a predecessor ?b,,,,,,,
?a successor ?c   ?b successor ?c,?a predecessor ?b,,,,,,,
?a successor ?c   ?c parent ?b,?a predecessor ?b,,,,,,,
?a successor ?c   ?b child ?c,?a predecessor ?b,,,,,,,
?a child ?c   ?c parent ?b,?a predecessor ?b,,,,,,,
?a child ?c   ?c father ?b,?a predecessor ?b,,,,,,,
?a child ?c   ?b child ?c,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?b,?a successor ?b,,,,,,,
?a predecessor ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a predecessor ?c   ?b mother ?c,?a successor ?b,,,,,,,
?a predecessor ?c   ?b father ?c,?a successor ?b,,,,,,,
?a predecessor ?c   ?b predecessor ?c,?a successor ?b,,,,,,,
?a predecessor ?c   ?c child ?b,?a successor ?b,,,,,,,
?a name ?c   ?c successor ?b,?a successor ?b,,,,,,,
?a name ?c   ?b predecessor ?c,?a successor ?b,,,,,,,
?a name ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a name ?c   ?c child ?b,?a successor ?b,,,,,,,
?a spouse ?c   ?c successor ?b,?a successor ?b,,,,,,,
?a spouse ?c   ?b mother ?c,?a successor ?b,,,,,,,
?a spouse ?c   ?b predecessor ?c,?a successor ?b,,,,,,,
?a spouse ?c   ?b father ?c,?a successor ?b,,,,,,,
?a spouse ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a spouse ?c   ?c child ?b,?a successor ?b,,,,,,,
?a successor ?c   ?c name ?b,?a successor ?b,,,,,,,
?a successor ?c   ?c successor ?b,?a successor ?b,,,,,,,
?a successor ?c   ?c parent ?b,?a successor ?b,,,,,,,
?a marriedTo ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a successor ?c   ?b name ?c,?a successor ?b,,,,,,,
?a successor ?c   ?b predecessor ?c,?a successor ?b,,,,,,,
?a successor ?c   ?c predecessor ?b,?a successor ?b,,,,,,,
?a successor ?c   ?b successor ?c,?a successor ?b,,,,,,,
?a successor ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a successor ?b,,,,,,,
?a child ?c   ?c successor ?b,?a successor ?b,,,,,,,
?a child ?c   ?c predecessor ?b,?a successor ?b,,,,,,,
?a child ?c   ?c parent ?b,?a successor ?b,,,,,,,
?a child ?c   ?b successor ?c,?a successor ?b,,,,,,,
?a child ?c   ?c father ?b,?a successor ?b,,,,,,,
?a child ?c   ?c child ?b,?a successor ?b,,,,,,,
?a child ?c   ?b predecessor ?c,?a successor ?b,,,,,,,
?a child ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a child ?c   ?b father ?c,?a successor ?b,,,,,,,
?a parent ?c   ?b mother ?c,?a successor ?b,,,,,,,
?a parent ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a parent ?c   ?c child ?b,?a successor ?b,,,,,,,
?a child ?c   ?b child ?c,?a successor ?b,,,,,,,
?a father ?c   ?b predecessor ?c,?a successor ?b,,,,,,,
?a father ?c   ?c child ?b,?a successor ?b,,,,,,,
?a father ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a predecessor ?b,,,,,,,
?a mother ?c   ?c child ?b,?a successor ?b,,,,,,,
?a mother ?c   ?b parent ?c,?a successor ?b,,,,,,,
?a mother ?c   ?c name ?b,?a mother ?b,,,,,,,
?a mother ?c   ?b name ?c,?a mother ?b,,,,,,,
?a hasSpouse ?c   ?b hasSpouse ?c,?a successor ?b,,,,,,,
?a name ?c   ?c mother ?b,?a mother ?b,,,,,,,
?a name ?c   ?c parent ?b,?a mother ?b,,,,,,,
?a name ?c   ?b child ?c,?a mother ?b,,,,,,,
?a father ?c   ?c spouse ?b,?a mother ?b,,,,,,,
?a father ?c   ?c predecessor ?b,?a mother ?b,,,,,,,
?a father ?c   ?b successor ?c,?a mother ?b,,,,,,,
?a father ?c   ?b spouse ?c,?a mother ?b,,,,,,,
?a parent ?c   ?c predecessor ?b,?a mother ?b,,,,,,,
?a parent ?c   ?c spouse ?b,?a mother ?b,,,,,,,
?a parent ?c   ?c name ?b,?a mother ?b,,,,,,,
?a parent ?c   ?b spouse ?c,?a mother ?b,,,,,,,
?a parent ?c   ?b successor ?c,?a mother ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a mother ?b,,,,,,,
?a parent ?c   ?b name ?c,?a mother ?b,,,,,,,
?a hasSpouse ?c   ?b hasSpouse ?c,?a predecessor ?b,,,,,,,
?a hasSpouse ?c   ?b hasSpouse ?c,?a mother ?b,,,,,,,
?a predecessor ?c   ?c spouse ?b,?a mother ?b,,,,,,,
?a predecessor ?c   ?b child ?c,?a mother ?b,,,,,,,
?a predecessor ?c   ?b spouse ?c,?a mother ?b,,,,,,,
?a father ?c   ?b name ?c,?a father ?b,,,,,,,
?a father ?c   ?c name ?b,?a father ?b,,,,,,,
?a predecessor ?c   ?b successor ?c,?a father ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?b,?a father ?b,,,,,,,
?a predecessor ?c   ?b child ?c,?a father ?b,,,,,,,
?a predecessor ?c   ?b spouse ?c,?a father ?b,,,,,,,
?a predecessor ?c   ?c spouse ?b,?a father ?b,,,,,,,
?a parent ?c   ?c successor ?b,?a father ?b,,,,,,,
?a parent ?c   ?c name ?b,?a father ?b,,,,,,,
?a parent ?c   ?b spouse ?c,?a father ?b,,,,,,,
?a parent ?c   ?c spouse ?b,?a father ?b,,,,,,,
?a parent ?c   ?b name ?c,?a father ?b,,,,,,,
?a parent ?c   ?b predecessor ?c,?a father ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a father ?b,,,,,,,
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a successor ?b,354,1.0,0.00042920952699655176,354,2,824772,?a
?a mother ?c   ?c successor ?b,?a father ?b,,,,,,,
?a mother ?c   ?c spouse ?b,?a father ?b,,,,,,,
?a mother ?c   ?b spouse ?c,?a father ?b,,,,,,,
?a hasSpouse ?c   ?b hasSpouse ?c,?a father ?b,,,,,,,
?a name ?c   ?c father ?b,?a father ?b,,,,,,,
?a name ?c   ?c parent ?b,?a father ?b,,,,,,,
?a name ?c   ?b child ?c,?a father ?b,,,,,,,
?a name ?c   ?c name ?b,?a name ?b,,,,,,,
?a name ?c   ?b name ?c,?a name ?b,,,,,,,
?a parent ?c   ?b mother ?c,?a name ?b,,,,,,,
?a parent ?c   ?b parent ?c,?a name ?b,,,,,,,
?a parent ?c   ?c child ?b,?a name ?b,,,,,,,
?a parent ?c   ?b father ?c,?a name ?b,,,,,,,
?a predecessor ?c   ?c successor ?b,?a name ?b,,,,,,,
?a predecessor ?c   ?b predecessor ?c,?a name ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a name ?b,,,,,,,
?a child ?c   ?c mother ?b,?a name ?b,,,,,,,
?a child ?c   ?b successor ?c,?a name ?b,,,,,,,
?a child ?c   ?c parent ?b,?a name ?b,,,,,,,
?a child ?c   ?b child ?c,?a name ?b,,,,,,,
?a spouse ?c   ?b spouse ?c,?a name ?b,,,,,,,
?a spouse ?c   ?c spouse ?b,?a name ?b,,,,,,,
?a father ?c   ?c child ?b,?a name ?b,,,,,,,
?a father ?c   ?b father ?c,?a name ?b,,,,,,,
?a father ?c   ?b parent ?c,?a name ?b,,,,,,,
?a mother ?c   ?c child ?b,?a name ?b,,,,,,,
?a mother ?c   ?b parent ?c,?a name ?b,,,,,,,
?a mother ?c   ?b mother ?c,?a name ?b,,,,,,,
?a hasSpouse ?c   ?b hasSpouse ?c,?a name ?b,,,,,,,
?a successor ?c   ?b successor ?c,?a name ?b,,,,,,,
?a successor ?c   ?b child ?c,?a name ?b,,,,,,,
?a successor ?c   ?c predecessor ?b,?a name ?b,,,,,,,
?a spouse ?c   ?b name ?c,?a spouse ?b,,,,,,,
?a spouse ?c   ?c name ?b,?a spouse ?b,,,,,,,
?a spouse ?c   ?c spouse ?b,?a spouse ?b,,,,,,,
?a spouse ?c   ?b spouse ?c,?a spouse ?b,,,,,,,
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a father ?b,561,1.0,0.0003770739064856712,561,2,1487772,?a
?a successor ?c   ?c parent ?b,?a spouse ?b,,,,,,,
?a successor ?c   ?c mother ?b,?a spouse ?b,,,,,,,
?a successor ?c   ?c father ?b,?a spouse ?b,,,,,,,
?a successor ?c   ?c predecessor ?b,?a spouse ?b,,,,,,,
?a successor ?c   ?b child ?c,?a spouse ?b,,,,,,,
?a child ?c   ?b successor ?c,?a spouse ?b,,,,,,,
?a successor ?c   ?b successor ?c,?a spouse ?b,,,,,,,
?a child ?c   ?c mother ?b,?a spouse ?b,,,,,,,
?a child ?c   ?c predecessor ?b,?a spouse ?b,,,,,,,
?a child ?c   ?c parent ?b,?a spouse ?b,,,,,,,
?a child ?c   ?c father ?b,?a spouse ?b,,,,,,,
?a child ?c   ?b child ?c,?a spouse ?b,,,,,,,
?a name ?c   ?c spouse ?b,?a spouse ?b,,,,,,,
?a name ?c   ?b spouse ?c,?a spouse ?b,,,,,,,
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a mother ?b,408,1.0,0.0003770739064856712,408,2,1082016,?a
?a parent ?c   ?c successor ?b,?a parent ?b,,,,,,,
?a parent ?c   ?c name ?b,?a parent ?b,,,,,,,
?a parent ?c   ?b name ?c,?a parent ?b,,,,,,,
?a parent ?c   ?b successor ?c,?a parent ?b,,,,,,,
?a parent ?c   ?b spouse ?c,?a parent ?b,,,,,,,
?a parent ?c   ?c spouse ?b,?a parent ?b,,,,,,,
?a name ?c   ?c mother ?b,?a parent ?b,,,,,,,
?a name ?c   ?c father ?b,?a parent ?b,,,,,,,
?a name ?c   ?c parent ?b,?a parent ?b,,,,,,,
?a name ?c   ?b child ?c,?a parent ?b,,,,,,,
?a hasSpouse ?c   ?b hasSpouse ?c,?a spouse ?b,,,,,,,
?a father ?c   ?c name ?b,?a parent ?b,,,,,,,
?a father ?c   ?b spouse ?c,?a parent ?b,,,,,,,
?a father ?c   ?c spouse ?b,?a parent ?b,,,,,,,
?a father ?c   ?b name ?c,?a parent ?b,,,,,,,
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a name ?b,585,1.0,0.00038098140810728437,585,2,1535508,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a predecessor ?b,358,1.0,0.00044405413987457334,358,2,806208,?a
?a predecessor ?c   ?c spouse ?b,?a parent ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?b,?a parent ?b,,,,,,,
?a predecessor ?c   ?b spouse ?c,?a parent ?b,,,,,,,
?a predecessor ?c   ?b successor ?c,?a parent ?b,,,,,,,
?a predecessor ?c   ?b child ?c,?a parent ?b,,,,,,,
?a mother ?c   ?c name ?b,?a parent ?b,,,,,,,
?a mother ?c   ?b name ?c,?a parent ?b,,,,,,,
?a mother ?c   ?c spouse ?b,?a parent ?b,,,,,,,
?a mother ?c   ?b spouse ?c,?a parent ?b,,,,,,,
?a parent ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a child ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a name ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a predecessor ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a father ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a successor ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a mother ?c   ?c gender ?b,?a gender ?b,,,,,,,
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a spouse ?b,865,1.0,0.0004241468518987069,865,2,2039388,?a
?a marriedTo ?c   ?c child ?b,?a child ?b,,,,,,,
?a child ?c   ?c name ?b,?a child ?b,,,,,,,
?a child ?c   ?c predecessor ?b,?a child ?b,,,,,,,
?a child ?c   ?b name ?c,?a child ?b,,,,,,,
?a child ?c   ?c successor ?b,?a child ?b,,,,,,,
?a child ?c   ?b predecessor ?c,?a child ?b,,,,,,,
?a child ?c   ?b successor ?c,?a child ?b,,,,,,,
?a successor ?c   ?c child ?b,?a child ?b,,,,,,,
?a successor ?c   ?c successor ?b,?a child ?b,,,,,,,
?a successor ?c   ?b predecessor ?c,?a child ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a parent ?b,,,,,,,
?a predecessor ?c   ?c child ?b,?a child ?b,,,,,,,
?a spouse ?c   ?c successor ?b,?a child ?b,,,,,,,
?a spouse ?c   ?c child ?b,?a child ?b,,,,,,,
?a spouse ?c   ?b mother ?c,?a child ?b,,,,,,,
?a spouse ?c   ?b parent ?c,?a child ?b,,,,,,,
?a spouse ?c   ?b predecessor ?c,?a child ?b,,,,,,,
?a spouse ?c   ?b father ?c,?a child ?b,,,,,,,
?a name ?c   ?c child ?b,?a child ?b,,,,,,,
?a name ?c   ?b parent ?c,?a child ?b,,,,,,,
?a name ?c   ?b mother ?c,?a child ?b,,,,,,,
?a gender ?c   ?b gender ?c,?a child ?b,,,,,,,
?a mother ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a name ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a successor ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a parent ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a predecessor ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a spouse ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a child ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a father ?c   ?c hasSpouse ?b,?a hasSpouse ?b,,,,,,,
?a successor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.11726998491704374,1.0,311,2,311,?a
?a name ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.21832579185520362,1.0,579,2,579,?a
?a mother ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.15384615384615385,1.0,408,2,408,?a
?a hasSpouse ?c   ?b hasSpouse ?c,?a parent ?b,,,,,,,
?a spouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.28996983408748117,1.0,769,2,769,?a
?a father ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.21153846153846154,1.0,561,2,561,?a
?a predecessor ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.11463046757164404,1.0,304,2,304,?a
?a child ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.1610105580693816,1.0,427,2,427,?a
?a parent ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.23378582202111614,1.0,620,2,620,?a
?a hasSpouse ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,2652,0.726998491704374,1.0,1928,2,1928,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a hasSpouse ?b,1928,1.0,0.0003770739064856712,1928,2,5113056,?a
?a hasSpouse ?c   ?b hasSpouse ?c,?a child ?b,,,,,,,
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a parent ?b,946,1.0,0.0005753417992507176,946,2,1644240,?a
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child ?b,1508,1.0,0.001331680213068834,1508,2,1132404,?a
?a predecessor ?c   ?c successor ?d   ?d parent ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?d mother ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?d spouse ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?b spouse ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?d father ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?d predecessor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?b child ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c parent ?d   ?b father ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c parent ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c successor ?d   ?b successor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c parent ?d   ?b parent ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?d parent ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c parent ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c parent ?d   ?b mother ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c parent ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?d spouse ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?b parent ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?b mother ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?b successor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c name ?d   ?d name ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?b spouse ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c name ?d   ?b name ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c marriedTo ?d   ?d marriedTo ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c marriedTo ?d   ?b marriedTo ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c predecessor ?d   ?b father ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?d predecessor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?d mother ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?b successor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?d parent ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?d spouse ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?d father ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?d predecessor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c child ?d   ?b child ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?d spouse ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?b successor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c spouse ?d   ?b spouse ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c father ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c mother ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c mother ?d   ?b parent ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c mother ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c mother ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a name ?c   ?c name ?d   ?b successor ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c mother ?d   ?b mother ?d,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c father ?d   ?b father ?d,?a predecessor ?b,,,,,,,
?a name ?c   ?c name ?d   ?d predecessor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c father ?d   ?b parent ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c father ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?b father ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?b parent ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?b spouse ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?d   ?d spouse ?b,?a predecessor ?b,,,,,,,
?a predecessor ?c   ?c father ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?d   ?b spouse ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?d   ?b predecessor ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?d   ?b parent ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c parent ?d   ?b mother ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?d   ?d successor ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c spouse ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c name ?d   ?d name ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c name ?d   ?d spouse ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c name ?d   ?d child ?b,?a predecessor ?b,,,,,,,
?a parent ?c   ?c name ?d   ?b name ?d,?a predecessor ?b,,,,,,,
?a parent ?c   ?c name ?d   ?b spouse ?d,?a predecessor ?b,,,,,,,
